family,field,live_type,live_ignore_above,expected_via,expected_type,classification,emit_sites,dashboard_refs
logs,@timestamp,date,,explicit,date,✅ aligned (explicit),,delegation_outcomes.ndjson:Rounds needed trend | expansion_decomposition.ndjson:Context budget utilization | expansion_decomposition.ndjson:Expansion events over time | expansion_decomposition.ndjson:Sub-agent spawn rate | extraction_retry_health.ndjson:Median attempts to success (per role) | intent_classification.ndjson:Intent classification over time | llm_performance.ndjson:LLM Errors Over Time | llm_performance.ndjson:LLM Latency Over Time | llm_performance.ndjson:Token Usage Over Time | request_latency.ndjson:P95 request-to-reply over time | request_latency.ndjson:Total request-to-reply over time | request_timing.ndjson:Total Request Duration Over Time | request_traces.ndjson:Request Overview | system_health.ndjson:CPU & Memory Timeline | system_health.ndjson:Error Events | system_health.ndjson:State Transitions | task_analytics.ndjson:Entity Creation Rate | task_analytics.ndjson:Memory Enrichment | task_analytics.ndjson:Tasks Over Time | prompt-cost-cache.ndjson:Prompt: Static prefix hash stability (erosion view)
logs,access_context,keyword,1024,es-default,text+keyword(default),⚠️ emitted-but-unmapped (dynamic),src/personal_agent/events/consumers/freshness_consumer.py:199 | src/personal_agent/events/consumers/freshness_consumer.py:205 | src/personal_agent/events/consumers/freshness_consumer.py:215 | src/personal_agent/events/consumers/freshness_consumer.py:221 | src/personal_agent/second_brain/consolidator.py:254 | src/personal_agent/memory/protocol_adapter.py:65,
logs,action,keyword,1024,es-default,text+keyword(default),⚠️ emitted-but-unmapped (dynamic),src/personal_agent/memory/service.py:814 | src/personal_agent/service/app.py:1279 | src/personal_agent/service/app.py:1285 | src/personal_agent/request_gateway/budget.py:278 | src/personal_agent/request_gateway/budget.py:293 | src/personal_agent/request_gateway/pipeline.py:205,
logs,action_id,keyword,,dynamic:ids_keyword,keyword,✅ aligned (dynamic-rule),src/personal_agent/transport/agui/adapter.py:134 | src/personal_agent/orchestrator/executor.py:423 | src/personal_agent/orchestrator/executor.py:434 | src/personal_agent/orchestrator/executor.py:440 | src/personal_agent/orchestrator/constraint_options.py:34 | src/personal_agent/orchestrator/constraint_options.py:35,
logs,active_inference,long,,es-default,long,⚠️ emitted-but-unmapped (dynamic),src/personal_agent/brainstem/expansion.py:83,
logs,active_request_count,long,,es-default,long,⚠️ emitted-but-unmapped (dynamic),src/personal_agent/brainstem/scheduler.py:274,
logs,actual_cost,keyword,1024,es-default,text+keyword(default),⚠️ emitted-but-unmapped (dynamic),src/personal_agent/cost_gate/gate.py:321,
logs,actual_wall_ms,long,,es-default,long,⚠️ TRAP float→long (0.0 first-seen),src/personal_agent/orchestrator/executor.py:3348,
logs,after,long,,es-default,long,⚠️ emitted-but-unmapped (dynamic),src/personal_agent/config/settings.py:1848 | src/personal_agent/config/settings.py:1869 | src/personal_agent/llm_client/models.py:197 | src/personal_agent/llm_client/models.py:207 | src/personal_agent/llm_client/models.py:217 | src/personal_agent/llm_client/models.py:273,
logs,after_count,long,,es-default,long,⚠️ emitted-but-unmapped (dynamic),src/personal_agent/memory/proactive.py:236,
